survey_series_id,survey_desc,survey_series_name,survey_series_desc,map_label
1,The 2023 Queen Charlotte Sound Synoptic Bottom Trawl Survey on the Nordic Pearl,QCS Synoptic Bottom Trawl,Queen Charlotte Sound Synoptic Bottom Trawl,Synoptic Bottom Trawl
3,The 2023 Hecate Strait synoptic trawl survey on the Sir John Franklin.,HS Synoptic Bottom Trawl,Hecate Strait Synoptic Bottom Trawl,Synoptic Bottom Trawl
4,2022 West Coast Vancouver Island Synoptic,WCVI Synoptic Bottom Trawl,West Coast Vancouver Island Synoptic Bottom Trawl,Synoptic Bottom Trawl
7,"2022 Small-mesh Multi-Species (SMMS, Shrimp) Bottom Trawl Survey",NA,West Coast Vancouver Island Multispecies Small-mesh Bottom Trawl,Multispecies Small-mesh Bottom Trawl
7,"The 2023 Small-Mesh Multi-Species (SMMS, Shrimp) Bottom Trawl Survey on the Sir John Franklin",NA,West Coast Vancouver Island Multispecies Small-mesh Bottom Trawl,Multispecies Small-mesh Bottom Trawl
14,2022 IPHC Longline Survey,NA,International Pacific Halibut Commission Fishery-Independent Setline Survey,IPHC FISS
16,The 2022 WCHG synoptic bottom trawl survey on the Nordic Pearl,WCHG Synoptic Bottom Trawl,West Coast Haida Gwaii Synoptic Bottom Trawl,Synoptic Bottom Trawl
22,2023 Hard Bottom Longline Outside North,HBLL Outside North (PHMA),Hard Bottom Longline Outside North,Hard Bottom Longline Hook
34,The 2023 SOG Ecosystem Research Initiative on the Sir John Franklin.,SOG Ecosystem Research Initiative Acoustic,Strait of Georgia Ecosystem Research Initiative Acoustic,SOGERI Acoustic
36,2022 Hard Bottom Longline Outside Survey,HBLL Outside South (PHMA),Hard Bottom Longline Outside South,Hard Bottom Longline Hook
39,The 2023 Inside North Hard Bottom Longline Hook survey on the Neocaligus.,HBLL Inside North,Hard Bottom Longline Inside North ,Hard Bottom Longline Hook
40,2022 Hard Bottom Longline Inside South,HBLL Inside South,Hard Bottom Longline Inside South ,Hard Bottom Longline Hook
41,2022 Sablefish Inlet Standardized,NA,Inlet Standardized Sablefish Trap,Sablefish Research and Assessment
41,2023 Sablefish Inlet Standardized,NA,Inlet Standardized Sablefish Trap,Sablefish Research and Assessment
43,2022 Sablefish Stratified Random,Sablefish Stratified Random,Offshore Stratified Random Sablefish Trap,Sablefish Research and Assessment
43,2023 Sablefish Stratified Random,Sablefish Stratified Random,Offshore Stratified Random Sablefish Trap,Sablefish Research and Assessment
48,2022 Dogfish Gear Comparison Survey,NA,Dogfish Gear/Timing Comparison Surveys,Dogfish
48,2023 Dogfish Gear Comparison Survey,NA,Dogfish Gear/Timing Comparison Surveys,Dogfish
48,The 2023 Summer Dogfish gear comparison survey on the Neocaligus.,NA,Dogfish Gear/Timing Comparison Surveys,Dogfish
68,2022 Joint Can/US Hake Acoustic Survey,Hake Hydroacoustic,Joint Canada/US Hake Acoustic,Pacific Hake Hydroacoustic
68,2023 Joint Can/US Hake Acoustic Survey,Hake Hydroacoustic,Joint Canada/US Hake Acoustic,Pacific Hake Hydroacoustic
